source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms
0,mr,mr,290,284.49273681640625,284.51654052734375,3.021240234375,-1,284.5165,284.5195,23.76318359375773,25.26318359372226,26.763183593743634,2.999999999985903,1.776204080742009,-1.2612500004470348,-0.8099999837577343,-1.2612500004470348,1.2612500004470348,0.45125001668930054,0.21624994277954102,3.454453121870756,1.141342151319525,-0.10593749955296516,0.13134909068467096,9.602274320078171,3.4355016417480497,1.6463756364990076,False,1,False,peak_latency_ms_outlier,,
1,lr,lr,290,284.49273681640625,284.53057861328125,3.0517578125,1,284.5305,284.53375,37.763183593767735,38.26318359375591,41.013183593747726,3.249999999979991,0.6943318643452843,0.03812499716877937,0.12843750044703484,0.12843750044703484,0.12843750044703484,0.09031250327825546,0.00812500063329935,0.3094140604225686,0.09888679998764997,-0.10593749955296516,0.13134909068467096,0.9778331907555724,0.6875761591305432,0.06185806533525988,False,1,True,,,13.000000000033651
2,er,er,291,284.99273681640625,285.0030822753906,3.021240234375,1,285.003,285.006,10.263183593735903,12.51318359373954,13.263183593721806,2.999999999985903,0.931816408451315,0.3942187502980232,0.48078126460313797,0.48078126460313797,0.48078126460313797,0.08656251430511475,0.0065625011920928955,1.3657812625169754,0.45460133985075796,-0.21328125149011612,0.06162054791897535,7.802288049033832,1.4047670335378306,0.10649858551601822,False,1,True,,,
3,mr,mr,291,284.99273681640625,285.012451171875,3.021240234375,-1,285.0125,285.0155,19.76318359373863,20.263183593726808,22.763183593724534,2.999999999985903,0.7381106408767074,-0.939218781888485,-0.6498437747359276,-0.939218781888485,0.939218781888485,0.2893750071525574,0.026250004768371582,2.5288281440734863,0.8437328390238167,-0.21328125149011612,0.06162054791897535,15.241973880587048,4.6960797481556895,0.4259943420640729,False,1,True,,7.749999999987267,
4,lr,lr,291,284.99273681640625,285.02593994140625,3.021240234375,1,285.026,285.029,33.26318359376046,35.5131835937641,36.26318359374636,2.999999999985903,0.8980973749200933,0.4204687550663948,0.5229687467217445,0.5229687467217445,0.5229687467217445,0.10249999165534973,0.01124998927116394,1.457890622317791,0.4857587336726203,-0.21328125149011612,0.06162054791897535,8.486921398514573,1.6634060409544982,0.1825687964663429,False,1,True,,,15.25000000003729
5,lr,lr,291,284.99273681640625,285.0440673828125,3.021240234375,1,285.044,285.047,51.26318359373272,51.76318359377774,54.263183593775466,3.0000000000427463,0.6043394333790657,0.5185937657952309,0.6301562562584877,0.6301562562584877,0.6301562562584877,0.11156249046325684,0.014062494039535522,1.7489062584936619,0.5829819227409404,-0.21328125149011612,0.06162054791897535,10.226398134062002,1.8104754701297037,0.22821111649358017,False,2,True,,,31.50000000005093
6,er,er,297,287.9930114746094,288.00762939453125,1.495361328125,1,288.00775,288.009,14.738525390612267,15.988525390639552,15.988525390639552,1.2500000000272848,0.75,0.2612499985843897,0.3599999938160181,0.3599999938160181,0.3599999938160181,0.09874999523162842,0.09874999523162842,0.3950781305320561,0.31701260382483426,-0.05687499977648258,0.11907131493017077,3.023398154518909,0.8293348846406897,0.8293348846406897,False,1,True,,,
7,mr,mr,297,287.9930114746094,288.0145568847656,0.0,-1,288.012,288.0155,18.988525390625455,20.488525390646828,22.488525390599534,3.4999999999740794,2.169719591458242,-0.9637499954551458,-0.5384374763816595,-0.9637499954551458,0.9637499954551458,0.42531251907348633,0.3553124666213989,2.86460938770324,0.8128310976019837,-0.05687499977648258,0.11907131493017077,8.09388891035877,3.5719141870811653,2.984030761983031,True,1,True,,4.500000000007276,
8,lr,lr,297,287.9930114746094,288.02130126953125,1.495361328125,1,288.02125,288.02275,28.238525390634095,29.488525390604536,29.738525390598625,1.4999999999645297,0.2874999105931608,-0.05156250111758709,-0.014374999329447746,-0.014374999329447746,0.05156250111758709,0.03718750178813934,0.0040625035762786865,0.042031251825392246,0.03179524467242115,-0.05687499977648258,0.11907131493017077,0.43303881499776714,0.31231285057990593,0.034118238961761166,False,1,True,,,8.999999999957708
9,lr,lr,297,287.9930114746094,288.0303649902344,1.495361328125,1,288.03025,288.03175,37.23852539064865,37.23852539064865,38.73852539061318,1.4999999999645297,0.875,0.31750000454485416,0.35312498547136784,0.35312498547136784,0.35312498547136784,0.03562498092651367,0.03562498092651367,0.508437498472631,0.33866133941611815,-0.05687499977648258,0.11907131493017077,2.9656595770228753,0.299190287328278,0.299190287328278,False,2,True,,,16.75000000000182
