label,manual,automatic,matched,missed,extra,precision,recall,match_tolerance_ms
er,24,14,14,10,0,1.0,0.5833333333333334,3.3488806640968845
mr,23,14,13,10,1,0.9285714285714286,0.5652173913043478,2.2608202147749807
lr,35,24,16,19,8,0.6666666666666666,0.45714285714285713,16.642329785283675
