start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,label,polarity,candidate_rank,score,stimulus_index,stimulus_s,component_rank,auto_label
100.199,100.20175,12.003540039060567,13.50354003906773,14.753540039066593,2.75,1.8385417322041229,0.14249999821186066,0.20500000566244125,0.20500000566244125,0.20500000566244125,0.0625000074505806,0.038437508046627045,0.5223828162997961,0.18786685156313296,-0.04781249910593033,0.11814469081386923,1.7351605412841447,0.5290124085985893,0.3253426606125139,er,1,1,1.436973145572276,38,100.18699645996094,1,er_auto
100.20375,100.20675,16.75354003906193,18.003540039060795,19.753540039062045,3.0,1.8594726280610367,-0.494687519967556,-0.3449999913573265,-0.494687519967556,0.494687519967556,0.1496875286102295,0.13437500596046448,1.3216796927154064,0.4365816102435885,-0.04781249910593033,0.11814469081386923,4.1871328839220565,1.266984809719925,1.1373765933516662,mr,-1,1,0.6703703284383417,38,100.18699645996094,1,mr_auto
100.20825,100.21475,21.253540039069208,25.003540039065797,27.75354003905761,6.5,4.59748633008682,-0.14812500029802322,0.11999999731779099,0.11999999731779099,0.14812500029802322,0.2681249976158142,0.2290624976158142,0.49863281135912985,0.08717893295309016,-0.04781249910593033,0.11814469081386923,1.2537592614414337,2.2694629421666614,1.9388302262070343,lr,1,2,3.663578957129347,38,100.18699645996094,1,lr_auto
100.2355,100.23725,48.50354003906432,49.253540039060795,50.25354003906557,1.75,1.094329861148891,-0.5509374961256981,-0.5225000008940697,-0.5225000008940697,0.5509374961256981,0.028437495231628418,0.016875028610229492,0.9275390598922968,0.5319888133887241,-0.04781249910593033,0.11814469081386923,4.663243793101725,0.24070057685816962,0.1428335754571927,lr,1,4,1.1203043395775285,38,100.18699645996094,2,lr_auto
100.24225,100.24375,55.25354003906102,56.0035400390575,56.753540039068184,1.5,1.0441179527660052,0.21937499195337296,0.23781249672174454,0.23781249672174454,0.23781249672174454,0.018437504768371582,0.017499998211860657,0.34738281182944775,0.23001655747658037,-0.04781249910593033,0.11814469081386923,2.0128919470144084,0.156058682293383,0.14812344161474836,lr,1,5,1.3678285148602607,38,100.18699645996094,3,lr_auto
151.1955,151.19825,11.753662109384777,13.503662109371817,14.503662109376592,2.75,1.7034352914018145,1.3310938030481339,1.4432813078165054,1.4432813078165054,1.4432813078165054,0.11218750476837158,0.10500001907348633,3.8507812581956387,1.3953655075966274,0.34046874940395355,0.0952107328891754,15.15880892857399,1.1783073332599698,1.1028170447517254,er,1,1,1.6902762933848703,140,151.18374633789062,1,er_auto
151.2,151.20175,16.25366210936363,17.003662109374318,18.003662109379093,1.75,1.1475068084632343,0.7817187458276749,0.8901562839746475,0.7817187458276749,0.8901562839746475,0.10843753814697266,0.058437466621398926,1.41199217364192,0.814905866290636,0.34046874940395355,0.0952107328891754,9.349327087007962,1.1389213679637689,0.6137697384329528,mr,-1,1,1.1614037386525833,140,151.18374633789062,1,mr_auto
151.2105,151.21175,26.753662109371135,27.50366210938182,28.003662109369998,1.25,0.7259613268446691,0.7120312601327896,0.7335937172174454,0.7335937172174454,0.7335937172174454,0.02156245708465576,0.015937447547912598,0.9076171703636646,0.724259147859915,0.34046874940395355,0.0952107328891754,7.704947698190109,0.22647086552473347,0.16739129155180088,lr,1,3,0.6357424755008002,140,151.18374633789062,1,lr_auto
151.21425,151.2235,30.503662109367724,36.25366210937386,39.753662109376364,9.25,7.075264524959965,0.7704687267541885,0.9973437935113907,0.9973437935113907,0.9973437935113907,0.22687506675720215,0.19749999046325684,8.722148437052965,0.9410475770650201,0.34046874940395355,0.0952107328891754,10.475119382520576,2.3828728114222484,2.0743458691064314,lr,1,5,3.8354732691560485,140,151.18374633789062,2,lr_auto
274.504,274.50775,11.2631835937691,13.513183593772737,15.013183593737267,3.75,2.952128526366483,0.34484375547617674,0.606406251899898,0.606406251899898,0.606406251899898,0.2615624964237213,0.18312498927116394,2.077343748183921,0.5481548526925399,-0.03078124951571226,0.02849371919184923,21.282102480793856,9.179654458676021,6.426854565322864,er,1,1,5.060409601665492,270,274.49273681640625,1,er_auto
