label,metric,n,median,scaled_mad,lower,upper
er,start_latency_ms,24,12.751464843773874,1.1155696288833268,9.404755957123893,16.098173730423856
er,peak_latency_ms,24,14.13012695311977,1.1162935546989614,10.781246289022885,17.479007617216656
er,end_latency_ms,24,14.131835937490678,1.1146647216769907,10.787841772459705,17.47583010252165
er,duration_ms,24,1.4999999999645297,0.3706500000755113,0.3880499997379958,2.6119500001910634
er,peak_width_ms,24,0.6347224282626203,0.3210559814233739,0.0,1.597890372532742
er,absolute_peak_amplitude,24,0.3158593736588955,0.24671391674391924,0.0,1.0560011238906533
er,p2p_amplitude,24,0.08609376102685928,0.055597513255476946,0.0,0.2528863007932901
er,prominence,24,0.037343740463256836,0.04331970505267382,0.0,0.16730285562127828
er,auc_abs,24,0.35251953662373126,0.27743731446604,0.0,1.1848314800218511
er,rms,24,0.30125474612426406,0.24570060985537406,0.0,1.0383565756903863
er,amplitude_noise_ratio,24,3.1788830240954242,2.397553419812646,0.0,10.371543283533363
er,p2p_noise_ratio,24,0.7664321979365089,0.4856231998097549,0.0,2.2233017973657736
er,prominence_noise_ratio,24,0.3576609138021722,0.3756165622476809,0.0,1.484510600545215
mr,start_latency_ms,23,17.255126953102717,1.482599999964941,12.807326953207895,21.70292695299754
mr,peak_latency_ms,23,18.50268554687773,0.7536067382583269,16.241865332102748,20.76350576165271
mr,end_latency_ms,23,20.0026855468991,1.1155696288833268,16.65597666024912,23.349394433549083
mr,duration_ms,23,2.999999999985903,0.7412999999824705,0.7761000000384914,5.223899999933314
mr,peak_width_ms,23,1.2514710294461222,0.5581559482568208,0.0,2.925938874216585
mr,absolute_peak_amplitude,23,1.7612499967217445,0.6250086181730031,0.0,3.636275851240754
mr,p2p_amplitude,23,0.40843749046325684,0.2515787016391754,0.0,1.163173595380783
mr,prominence,23,0.17812514305114746,0.12185141372680663,0.0,0.5436793842315674
mr,auc_abs,23,3.1576953269541264,1.6865733269099146,0.0,8.21741530768387
mr,rms,23,1.5729807504523006,0.6683010850972052,0.0,3.577884005743916
mr,amplitude_noise_ratio,23,15.421622903445241,6.796027724979162,0.0,35.809706078382725
mr,p2p_noise_ratio,23,3.5719141870811653,2.610263222206106,0.0,11.402703853699485
mr,prominence_noise_ratio,23,1.6393872441255,1.312158516185465,0.0,5.575862792681894
lr,start_latency_ms,35,29.26098632809726,5.192719628871191,13.682827441483688,44.83914521471083
lr,peak_latency_ms,35,29.74682617190183,5.547443261761225,13.104496386618155,56.989746093734084
lr,end_latency_ms,35,31.7551269531009,4.442732519522485,18.426929394533445,45.08332451166835
lr,duration_ms,35,2.999999999985903,2.223899999947412,0.0,9.671699999828139
lr,peak_width_ms,35,0.875,0.40128135607219717,0.0,2.0788440682165916
lr,absolute_peak_amplitude,35,0.3370312452316284,0.2390692429304123,0.0,1.0542389740228653
lr,p2p_amplitude,35,0.08250001072883606,0.0634738292902708,0.0,0.2729214985996485
lr,prominence,35,0.03812497854232788,0.04030816010534763,0.0,0.15904945885837077
lr,auc_abs,35,0.6775390733964741,0.6408191159226,0.0,2.599996421164274
lr,rms,35,0.2928223123305603,0.243181919954631,0.0,1.0223680721944532
lr,amplitude_noise_ratio,35,2.9656595770228753,2.200165514145833,0.0,9.566156119460373
lr,p2p_noise_ratio,35,0.6777335778520072,0.608751419787032,0.0,2.503987837213103
lr,prominence_noise_ratio,35,0.34215312709573226,0.35172074510354007,0.0,1.3973153624063526
