source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms,auto_label
0,er_auto,er,38,100.186996,100.199,2.7500000000060254,1,100.199,100.20175,12.004000000004567,13.504000000011729,14.754000000010592,2.7500000000060254,1.8385417322041229,0.14249999821186066,0.20500000566244125,0.20500000566244125,0.20500000566244125,0.0625000074505806,0.038437508046627045,0.5223828162997961,0.18786685156313296,-0.04781249910593033,0.11814469081386923,1.7351605412841447,0.5290124085985893,0.3253426606125139,False,1,True,,,,er_auto
1,mr_auto,mr,38,100.186996,100.20375,3.0000000000001137,-1,100.20375,100.20675,16.75400000000593,18.004000000004794,19.754000000006045,3.0000000000001137,1.8594726280610367,-0.494687519967556,-0.3449999913573265,-0.494687519967556,0.494687519967556,0.1496875286102295,0.13437500596046448,1.3216796927154064,0.4365816102435885,-0.04781249910593033,0.11814469081386923,4.1871328839220565,1.266984809719925,1.1373765933516662,False,1,True,,4.499999999993065,,mr_auto
2,lr_auto,lr,38,100.186996,100.20825,6.499999999988404,1,100.20825,100.21475,21.254000000013207,25.004000000009796,27.75400000000161,6.499999999988404,4.59748633008682,-0.14812500029802322,0.11999999731779099,0.11999999731779099,0.14812500029802322,0.2681249976158142,0.2290624976158142,0.49863281135912985,0.08717893295309016,-0.04781249910593033,0.11814469081386923,1.2537592614414337,2.2694629421666614,1.9388302262070343,False,1,True,,,7.000000000005002,lr_auto
3,lr_auto,lr,38,100.186996,100.2355,1.7500000000012506,1,100.2355,100.23725,48.50400000000832,49.254000000004794,50.25400000000957,1.7500000000012506,1.094329861148891,-0.5509374961256981,-0.5225000008940697,-0.5225000008940697,0.5509374961256981,0.028437495231628418,0.016875028610229492,0.9275390598922968,0.5319888133887241,-0.04781249910593033,0.11814469081386923,4.663243793101725,0.24070057685816962,0.1428335754571927,False,2,True,,,31.25,lr_auto
4,lr_auto,lr,38,100.186996,100.24225,1.5000000000071623,1,100.24225,100.24375,55.25400000000502,56.0040000000015,56.754000000012184,1.5000000000071623,1.0441179527660052,0.21937499195337296,0.23781249672174454,0.23781249672174454,0.23781249672174454,0.018437504768371582,0.017499998211860657,0.34738281182944775,0.23001655747658037,-0.04781249910593033,0.11814469081386923,2.0128919470144084,0.156058682293383,0.14812344161474836,False,3,True,,,37.9999999999967,lr_auto
5,er_auto,er,140,151.183746,151.1955,2.7499999999918145,1,151.1955,151.19825,11.753999999996267,13.503999999983307,14.503999999988082,2.7499999999918145,1.7034352914018145,1.3310938030481339,1.4432813078165054,1.4432813078165054,1.4432813078165054,0.11218750476837158,0.10500001907348633,3.8507812581956387,1.3953655075966274,0.34046874940395355,0.0952107328891754,15.15880892857399,1.1783073332599698,1.1028170447517254,False,1,True,,,,er_auto
6,mr_auto,mr,140,151.183746,151.2,1.7500000000154614,-1,151.2,151.20175,16.25399999997512,17.00399999998581,18.003999999990583,1.7500000000154614,1.1475068084632343,0.7817187458276749,0.8901562839746475,0.7817187458276749,0.8901562839746475,0.10843753814697266,0.058437466621398926,1.41199217364192,0.814905866290636,0.34046874940395355,0.0952107328891754,9.349327087007962,1.1389213679637689,0.6137697384329528,False,1,True,,3.500000000002501,,mr_auto
7,lr_auto,lr,140,151.183746,151.2105,1.2499999999988631,1,151.2105,151.21175,26.753999999982625,27.50399999999331,28.003999999981488,1.2499999999988631,0.7259613268446691,0.7120312601327896,0.7335937172174454,0.7335937172174454,0.7335937172174454,0.02156245708465576,0.015937447547912598,0.9076171703636646,0.724259147859915,0.34046874940395355,0.0952107328891754,7.704947698190109,0.22647086552473347,0.16739129155180088,False,1,True,,,10.500000000007503,lr_auto
8,lr_auto,lr,140,151.183746,151.21425,9.25000000000864,1,151.21425,151.2235,30.503999999979214,36.25399999998535,39.753999999987855,9.25000000000864,7.075264524959965,0.7704687267541885,0.9973437935113907,0.9973437935113907,0.9973437935113907,0.22687506675720215,0.19749999046325684,8.722148437052965,0.9410475770650201,0.34046874940395355,0.0952107328891754,10.475119382520576,2.3828728114222484,2.0743458691064314,False,2,True,,,19.249999999999545,lr_auto
9,er_auto,er,270,274.492737,274.504,3.7499999999681677,1,274.504,274.50775,11.263000000042211,13.51300000004585,15.01300000001038,3.7499999999681677,2.952128526366483,0.34484375547617674,0.606406251899898,0.606406251899898,0.606406251899898,0.2615624964237213,0.18312498927116394,2.077343748183921,0.5481548526925399,-0.03078124951571226,0.02849371919184923,21.282102480793856,9.179654458676021,6.426854565322864,False,1,True,,,,er_auto
