auto_index,manual_index,overlap_s,intersection_over_union,epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
97.0,238.0,0.024747314453122726,0.9997928708110615,549,1837613,1839613,459.40325,500.0,0.45500001311302185,0.13343400530219077,False,True,True,significant_er,True,459.40325,12.0,17.25,36.75,19.75,36.75,24.75,7.75,-0.6284375190734863,0.5853124856948853,1.0834375321865082,1.2137500047683716,0.6400000192224979,0.5687500201165676,1.2137500047683716,1.1202768675724912,2.371449304839398,0.13343400530219077,8.11965083213102,9.096257000002112,4.262406864191085,native,verified_mad,significant
51.0,141.0,0.022491455078125,0.9996202256953536,348,1253963,1255963,313.49075,500.0,0.040312498807907104,0.14362687058150767,False,True,True,significant_er,True,313.49075,13.0,15.5,35.5,20.25,35.5,22.5,7.25,-1.963437557220459,0.3659375011920929,2.003750056028366,2.329375058412552,1.1943750381469727,1.6268750429153442,2.329375058412552,1.1625077945248357,2.4091032173364777,0.14362687058150767,13.951080657231518,16.218240006076307,11.327093853180482,native,verified_mad,significant
53.0,143.0,0.022491455078125,0.9996202256953536,350,1257963,1259963,314.49075,500.0,-0.19374999403953552,0.13528725353479384,False,True,True,significant_er,True,314.49075,15.5,18.0,38.0,21.25,38.0,22.5,5.75,-2.331249952316284,0.08968749642372131,2.1374999582767487,2.4209374487400055,1.199062466621399,1.4418749809265137,2.4209374487400055,1.1326023373080034,1.8513424828864764,0.13528725353479384,15.799714329532279,17.894793378427014,10.657877540219893,native,verified_mad,significant
33.0,121.0,0.02249047851563546,0.9995334403907105,314,1185965,1187965,296.49125,500.0,-0.078125,0.05235431227907538,False,True,True,significant_er,True,296.49125,14.0,16.5,36.5,19.25,36.5,22.5,5.25,-0.6271874904632568,0.004999999888241291,0.5490624904632568,0.6346874879673123,0.3609374761581421,0.4268749952316284,0.6321874903514981,1.1513944247368033,2.26180820170042,0.12092456868588923,4.5405371003595505,5.2486231281581945,3.530093180158192,native,verified_mad,significant
61.0,152.0,0.0224892578124809,0.9994249693489932,362,1281954,1283955,320.4885,500.25,0.010937499813735485,0.13065412604939192,False,True,True,significant_er,True,320.4885,16.25,19.0,38.75,22.25,38.75,22.5,6.0,-1.809999942779541,0.5956249833106995,1.8209374425932765,2.4056249260902405,1.0784374475479126,1.5693749487400055,2.4056249260902405,1.3210914717994293,1.336514722347124,0.13065412604939192,13.937083333326168,18.412161933415163,12.01167537676327,native,verified_mad,significant
62.0,153.0,0.0224892578124809,0.9994249693489932,363,1283955,1285954,320.98875,499.75,-0.2993749976158142,0.01853248232603073,False,True,True,significant_er,True,320.98875,16.0,18.5,38.5,22.75,38.5,22.5,6.75,-2.1050000190734863,0.08093749731779099,1.8056250214576721,2.1859375163912773,1.0859375,1.2781250476837158,2.1859375163912773,1.2106265090558952,1.6521109566821668,0.12092456868588923,14.93182933029863,18.076868415957854,10.569606007888627,native,verified_mad,significant
9.0,11.0,0.02224999999999966,0.9997778539595321,43,410740,412739,102.685,499.75,0.07093749940395355,0.12787426060438156,False,True,True,significant_er,True,102.685,11.75,14.0,34.0,17.75,34.0,22.25,6.0,-0.9731249809265137,0.16312499344348907,1.0440624803304672,1.1362499743700027,0.567187488079071,0.45906245708465576,1.1362499743700027,1.0882969130452387,2.4846755243505902,0.12787426060438156,8.164758688698083,8.885681676669414,3.5899519959290864,native,verified_mad,significant
45.0,135.0,0.022247314453125,0.9998793012646989,338,1233964,1235964,308.491,500.0,0.05562499910593033,0.06764362676739692,False,True,True,significant_er,True,308.491,16.75,19.0,39.0,22.25,39.0,22.25,5.5,-1.1775000095367432,0.21437500417232513,1.2331250086426735,1.3918750137090683,0.765312522649765,1.0531250089406967,1.3918750137090683,1.128737965699953,1.7966558760949454,0.12092456868588923,10.197472871255878,11.510274783981819,8.708941618607456,native,verified_mad,significant
78.0,169.0,0.022246582031243634,0.9998134717300765,399,1537618,1539618,384.4045,500.0,-0.1106249988079071,0.12185118451751768,False,True,True,significant_er,True,384.4045,13.5,15.75,35.75,21.25,35.75,22.25,7.75,-2.8993749618530273,-0.24968749284744263,2.7887499630451202,2.6496874690055847,1.5656249523162842,2.2040624618530273,2.6496874690055847,0.9501344703245862,2.887061585143248,0.12185118451751768,22.886523213438284,21.74527461097153,18.08814966042587,native,verified_mad,significant
47.0,137.0,0.02224633789063546,0.9997915295166256,343,1243963,1245963,310.99075,500.0,-0.03187499940395355,0.14548011881411074,False,True,True,significant_er,True,310.99075,14.5,16.75,36.75,20.75,36.75,22.25,6.25,-1.863124966621399,-0.0690625011920929,1.8312499672174454,1.794062465429306,1.0924999713897705,1.239062488079071,1.794062465429306,0.9796928314245132,2.1005205171238943,0.14548011881411074,12.58763040713041,12.33201127448689,8.517057163407328,native,verified_mad,significant
