epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
26,376744,378744,94.186,500.0,-0.14812499284744263,0.09636901855766773,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
27,378744,380744,94.686,500.0,-0.023749999701976776,0.1403836861744523,False,True,True,significant_er,True,94.686,17.75,19.5,31.5,22.5,31.5,13.75,4.75,-0.44718751311302185,0.25718748569488525,0.4234375134110451,0.7043749988079071,0.22343751788139343,0.3512500151991844,0.7043749988079071,1.6634685791859602,5.853412757096919,0.1403836861744523,3.016287183717678,5.017498955915667,2.5020714640780435,native,matched_auto_manual_robust_mad,significant
28,380744,382744,95.186,500.0,-0.010625000111758709,0.11258493645060808,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
29,382744,384744,95.686,500.0,0.05562499910593033,0.1301908208951354,False,True,False,candidate_not_significant,False,95.686,16.25,20.0,30.5,23.5,30.5,14.25,7.25,-0.21125000715255737,0.1990624964237213,0.2668750062584877,0.4103125035762787,0.14343750476837158,0.16968750581145287,0.4103125035762787,1.5374707033406545,4.943905703216634,0.1301908208951354,2.049875747180726,3.1516239067789003,1.3033753427834271,native,matched_auto_manual_robust_mad,below_snr
30,384744,386744,96.186,500.0,-0.054999999701976776,0.12926419677883386,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
31,386744,388744,96.686,500.0,-0.03125,0.13667718970924614,False,True,False,candidate_not_significant,False,96.686,12.25,14.25,33.5,22.0,33.5,21.25,9.75,-0.5293750166893005,-0.0037499999161809683,0.49812501668930054,0.5256250167731196,0.2581250071525574,0.31687501072883606,0.5256250167731196,1.0552070246674077,5.932178490655457,0.13667718970924614,3.6445365737250204,3.845740594251927,2.318419126138936,native,matched_auto_manual_robust_mad,below_snr
32,388744,390744,97.186,500.0,-0.09531249850988388,0.14501680675596,False,True,True,significant_er,True,97.186,15.0,17.0,32.5,22.25,32.5,17.5,7.25,-0.6943749785423279,0.12093749642372131,0.599062480032444,0.8153124749660492,0.32343748211860657,0.5212499797344208,0.8153124749660492,1.360980702583633,2.158365439980357,0.14501680675596,4.130986562409762,5.622192994071986,3.594410823095842,native,matched_auto_manual_robust_mad,significant
33,390744,392744,97.686,500.0,0.053437501192092896,0.11907132045328617,False,True,False,candidate_not_significant,False,97.686,15.0,17.5,30.75,21.5,30.75,15.75,6.5,-0.1681250035762787,0.2603124976158142,0.22156250476837158,0.4284375011920929,0.11812500283122063,0.2434375062584877,0.4284375011920929,1.9337094136934179,3.8276888963292124,0.12092456868588923,1.832237296160196,3.5430145077051454,2.0131352040695316,native,matched_auto_manual_robust_mad,below_snr
34,392744,394745,98.186,500.25,-0.053437501192092896,0.06440043131411076,False,True,True,significant_er,True,98.186,15.75,17.5,32.0,20.25,32.0,16.25,4.5,-0.5831249952316284,0.3890624940395355,0.5296874940395355,0.9721874892711639,0.3062500059604645,0.6431249938905239,0.9721874892711639,1.8353982304868246,4.33031663995749,0.12092456868588923,4.380313279557267,8.039619242277348,5.318398079724312,native,matched_auto_manual_robust_mad,significant
35,394745,396744,98.68625,499.75,-0.004062499850988388,0.1274109319768846,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
36,396744,398746,99.186,500.49999999999994,0.078125,0.04401468970924616,False,True,True,significant_er,True,99.186,17.5,19.25,32.5,23.75,32.5,15.0,6.25,-0.5896875262260437,0.10218749940395355,0.6678125262260437,0.6918750256299973,0.3593750298023224,0.37656252086162567,0.6918750256299973,1.0360318180012826,3.4184535813769514,0.12092456868588923,5.522554543574495,5.721542223790728,3.1140282322591983,native,matched_auto_manual_robust_mad,significant
37,398746,400748,99.6865,500.49999999999994,0.06624999642372131,0.08571280670072882,False,True,True,significant_er,True,99.6865,13.75,16.25,31.0,21.75,31.0,17.25,8.0,-0.6787499785423279,0.5387499928474426,0.7449999749660492,1.2174999713897705,0.44968748092651367,0.7390624769032001,1.2174999713897705,1.6342282044308174,4.484839508241229,0.12092456868588923,6.160865265529648,10.06825978062671,6.11176442417563,native,matched_auto_manual_robust_mad,significant
38,400748,402750,100.187,500.49999999999994,-0.047187499701976776,0.11953463251143694,False,True,True,significant_er,True,100.187,16.25,18.0,34.25,20.75,34.25,18.0,4.5,-0.5425000190734863,0.13968749344348907,0.49531251937150955,0.6821875125169754,0.29593752324581146,0.602187518030405,0.6821875125169754,1.3772870376516773,2.742243823432078,0.12092456868588923,4.096045367406862,5.641430190162674,4.97986078903976,native,matched_auto_manual_robust_mad,significant
39,402750,404741,100.6875,497.75,0.12843750417232513,0.12694763096496461,False,True,True,significant_er,True,100.6875,14.0,16.0,26.25,20.5,26.25,12.25,6.5,-0.7484375238418579,0.04281250014901161,0.876875028014183,0.7912500239908695,0.556562528014183,0.6600000262260437,0.7912500239908695,0.902352101168596,4.03101841755987,0.12694763096496461,6.907376067980234,6.232885308503638,5.198994429507649,native,matched_auto_manual_robust_mad,significant
40,404741,406741,101.18525,500.0,-0.03375000134110451,0.11304824712797999,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
41,406741,408740,101.68525,499.75,0.028437500819563866,0.045867938632238654,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
42,408740,410740,102.185,500.0,-0.08812499791383743,0.12138787176897749,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
43,410740,412739,102.685,499.75,0.07093749940395355,0.12787426060438156,False,True,True,significant_er,True,102.685,11.75,14.0,34.0,17.75,34.0,22.25,6.0,-0.9731249809265137,0.16312499344348907,1.0440624803304672,1.1362499743700027,0.567187488079071,0.45906245708465576,1.1362499743700027,1.0882969130452387,3.8393696133786093,0.12787426060438156,8.164758688698083,8.885681676669414,3.5899519959290864,native,matched_auto_manual_robust_mad,significant
44,412739,414739,103.18475,500.0,-0.06031249836087227,0.06764363229051232,False,True,True,significant_er,True,103.18475,13.25,15.25,35.0,19.25,35.0,21.75,6.0,-0.9671875238418579,0.08343750238418579,0.9068750254809856,1.0506250262260437,0.4803125262260437,0.8384375274181366,1.0506250262260437,1.158511367835735,2.33491140812708,0.12092456868588923,7.499510110610049,8.688267716340773,6.933558139008475,native,matched_auto_manual_robust_mad,significant
45,414739,416739,103.68475,500.0,0.5903124809265137,0.10285534318685531,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
46,416739,418739,104.18475,500.0,0.05000000074505806,0.11351157023236155,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
47,418739,420739,104.68475,500.0,-1.034999966621399,0.12555764508247375,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
48,420739,422739,105.18475,500.0,-0.12406250089406967,0.08154299955815077,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
49,422739,424739,105.68475,500.0,-0.3046875,0.13899375,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
